utrRank,hardCourtRank,clayCourtRank,grassCourtRank,oneMonthRank,sixWeekRank,eightWeekRank,threeMonthRank,grandSlamMastersRank,fullTwelveRank,ytdRank
7.0,5.0,5.0,22.0,,,,,3.0,4.0,
7.0,5.0,5.0,22.0,,,,,3.0,4.0,
7.0,5.0,5.0,22.0,,,,,3.0,4.0,
7.0,5.0,5.0,22.0,,,,,3.0,4.0,
7.0,5.0,5.0,22.0,,,,,3.0,4.0,
7.0,5.0,5.0,22.0,,,,,3.0,4.0,
7.0,5.0,5.0,22.0,,,,,3.0,4.0,
7.0,5.0,5.0,22.0,,,,,3.0,4.0,
7.0,5.0,5.0,22.0,,,,,3.0,4.0,
7.0,5.0,5.0,22.0,,,,,3.0,4.0,
7.0,5.0,5.0,22.0,,,,,3.0,4.0,
7.0,5.0,5.0,22.0,,,,,3.0,4.0,
7.0,5.0,5.0,22.0,,,,,3.0,4.0,
7.0,5.0,5.0,22.0,,,,,3.0,4.0,
7.0,5.0,5.0,22.0,,,,,3.0,4.0,
7.0,5.0,5.0,22.0,,,,,3.0,4.0,
7.0,5.0,5.0,22.0,,,,,3.0,4.0,
7.0,5.0,5.0,22.0,,,,,3.0,4.0,
7.0,5.0,5.0,22.0,,,,,3.0,4.0,
7.0,5.0,5.0,22.0,,,,,3.0,4.0,
7.0,5.0,5.0,22.0,,,,,3.0,4.0,
7.0,5.0,5.0,22.0,,,,,3.0,4.0,
7.0,5.0,5.0,22.0,,,,,3.0,4.0,
7.0,5.0,5.0,22.0,,,,,3.0,4.0,
7.0,5.0,5.0,22.0,,,,,3.0,4.0,
,,,,,,,,,,
223.0,203.0,153.0,141.0,,,,,187.0,180.0,213.0
7.0,5.0,5.0,22.0,,,,,3.0,4.0,
7.0,5.0,5.0,22.0,,,,,3.0,4.0,
7.0,5.0,5.0,22.0,,,,,3.0,4.0,
7.0,5.0,5.0,22.0,,,,,3.0,4.0,
7.0,5.0,5.0,22.0,,,,,3.0,4.0,
7.0,5.0,5.0,22.0,,,,,3.0,4.0,
7.0,5.0,5.0,22.0,,,,,3.0,4.0,
7.0,5.0,5.0,22.0,,,,,3.0,4.0,
7.0,5.0,5.0,22.0,,,,,3.0,4.0,
7.0,5.0,5.0,22.0,,,,,3.0,4.0,
7.0,5.0,5.0,22.0,,,,,3.0,4.0,
7.0,5.0,5.0,22.0,,,,,3.0,4.0,
7.0,5.0,5.0,22.0,,,,,3.0,4.0,
7.0,5.0,5.0,22.0,,,,,3.0,4.0,
7.0,5.0,5.0,22.0,,,,,3.0,4.0,
7.0,5.0,5.0,22.0,,,,,3.0,4.0,
7.0,5.0,5.0,22.0,,,,,3.0,4.0,
7.0,5.0,5.0,22.0,,,,,3.0,4.0,
7.0,5.0,5.0,22.0,,,,,3.0,4.0,
7.0,5.0,5.0,22.0,,,,,3.0,4.0,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
7.0,5.0,5.0,22.0,,,,,3.0,4.0,
7.0,5.0,5.0,22.0,,,,,3.0,4.0,
7.0,5.0,5.0,22.0,,,,,3.0,4.0,
,,,,,,,,,,
7.0,5.0,5.0,22.0,,,,,3.0,4.0,
7.0,5.0,5.0,22.0,,,,,3.0,4.0,
7.0,5.0,5.0,22.0,,,,,3.0,4.0,
7.0,5.0,5.0,22.0,,,,,3.0,4.0,
7.0,5.0,5.0,22.0,,,,,3.0,4.0,
96.0,108.0,258.0,,,,,,46.0,108.0,96.0
96.0,108.0,258.0,,,,,,46.0,108.0,96.0
96.0,108.0,258.0,,,,,,46.0,108.0,96.0
